Date,Category,Amount,Description
2023-11-01,Shopping,24.44,Decorations
2023-11-01,Food,9.61,Breakfast cafe
2023-11-02,Entertainment,7.78,Theater show
2023-11-02,Education,9.43,Books
2023-11-03,Food,14.1,Butcher shop
2023-11-03,Education,8.1,Software license
2023-11-04,Education,24.1,Tuition
2023-11-05,Healthcare,19.54,Lab tests
2023-11-06,Healthcare,17.92,Health insurance
2023-11-06,Shopping,10.9,Home items
2023-11-06,Entertainment,9.61,Bowling
2023-11-07,Entertainment,11.14,Movie tickets
2023-11-07,Shopping,12.8,Kitchenware
2023-11-07,Shopping,23.11,Tools
2023-11-07,Education,15.52,Certification
2023-11-07,Transportation,7.59,Bus fare
2023-11-08,Bills,10.49,Gas bill
2023-11-08,Food,7.72,Fast food
2023-11-08,Shopping,8.9,Accessories
2023-11-08,Education,14.61,Training
2023-11-08,Education,7.12,Study materials
2023-11-09,Shopping,20.19,Accessories
2023-11-09,Healthcare,3.33,Medicine
2023-11-09,Transportation,5.13,Gas/Fuel
2023-11-10,Education,25.94,Certification
2023-11-10,Bills,20.38,Water bill
2023-11-10,Shopping,12.96,Tools
2023-11-11,Education,14.71,Software license
2023-11-12,Other,7.71,Repair
2023-11-13,Transportation,4.21,Bus fare
2023-11-14,Entertainment,10.92,Gaming
2023-11-16,Transportation,8.92,Bus fare
2023-11-16,Other,8.49,Repair
2023-11-16,Food,12.66,Fruit stand
2023-11-17,Healthcare,5.94,Dental checkup
2023-11-17,Shopping,15.66,Accessories
2023-11-17,Entertainment,9.36,Arcade
2023-11-18,Food,13.44,Bakery items
2023-11-18,Shopping,7.82,Bedding
2023-11-19,Transportation,6.4,Toll road
2023-11-19,Shopping,6.15,Tools
2023-11-20,Entertainment,3.23,Streaming service
2023-11-21,Food,14.27,Snacks
2023-11-21,Education,24.03,Tuition
2023-11-23,Entertainment,9.66,Streaming service
2023-11-23,Shopping,22.84,Home items
2023-11-25,Food,3.61,Coffee shop
2023-11-25,Food,8.47,Dinner out
2023-11-25,Bills,12.88,Trash service
2023-11-25,Transportation,3.75,Ride share
2023-11-27,Education,13.95,Software license
2023-11-27,Shopping,4.31,Furniture
2023-11-27,Food,12.09,Street food
2023-11-29,Entertainment,9.81,Bowling
2023-11-29,Food,6.71,Dinner out
2023-11-29,Transportation,9.17,Toll road
2023-11-29,Healthcare,3.88,Lab tests
2023-11-29,Education,17.8,Study materials
2023-12-01,Education,25.08,Study materials
2023-12-01,Entertainment,11.14,Theater show
2023-12-01,Bills,11.72,Insurance
2023-12-02,Education,14.14,Books
2023-12-02,Transportation,2.71,Ride share
2023-12-02,Education,18.1,Online course
2023-12-03,Food,2.65,Dinner out
2023-12-03,Healthcare,9.05,Pharmacy
2023-12-04,Other,10.98,Miscellaneous
2023-12-05,Entertainment,9.38,Gaming
2023-12-05,Food,4.71,Seafood
2023-12-05,Food,10.42,Restaurant meal
2023-12-06,Bills,42.53,Gas bill
